From Station Name,Usertype,Latitude,Longitude,Number of Records,,
Morgan St & Lake St,Subscriber,41.88548331,-87.65230486,"30,244",,
Clinton St & Lake St,Subscriber,41.885637,-87.641823,"44,332",,
Franklin St & Lake St,Subscriber,41.885837,-87.6355,"25,834",,
Clark St & Lake St,Subscriber,41.88602083,-87.63087606,"29,798",,
Michigan Ave & Lake St,Customer,41.886024,-87.624117,"12,388",,
Michigan Ave & Lake St,Subscriber,41.886024,-87.624117,"33,614",,
Field Blvd & South Water St,Subscriber,41.88634906,-87.61751655,"14,856",,
Stetson Ave & South Water St,Subscriber,41.886835,-87.62232,"23,340",,
Wabash Ave & Wacker Pl,Subscriber,41.886875,-87.62603,"17,356",,
Wabash Ave & Wacker Pl,Customer,41.886875,-87.62603,"11,000",,
Racine Ave (May St) & Fulton St,Subscriber,41.886926,-87.656919,"13,598",,
Orleans St & Merchandise Mart Plaza,Subscriber,41.888243,-87.63639,"54,722",,
Desplaines St & Kinzie St,Subscriber,41.88871604,-87.64444785,"36,436",,
Kingsbury St & Kinzie St,Subscriber,41.88917683,-87.63850577,"65,848",,
State St & Kinzie St,Subscriber,41.889187,-87.627754,"30,404",,
Artesian Ave & Hubbard St,Subscriber,41.88949182,-87.68821936,"10,252",,
Rush St & Hubbard St,Subscriber,41.890092,-87.626239,"22,492",,
Cityfront Plaza Dr & Pioneer Ct,Subscriber,41.890573,-87.622072,"18,090",,
McClurg Ct & Illinois St,Customer,41.8906895,-87.617416,"19,334",,
McClurg Ct & Illinois St,Subscriber,41.8906895,-87.617416,"35,400",,
LaSalle St & Illinois St,Subscriber,41.8907585,-87.631853,"41,756",,
LaSalle St & Illinois St,Customer,41.8907585,-87.631853,"10,362",,
Wabash Ave & Grand Ave,Customer,41.891189,-87.6267825,"10,206",,
Wabash Ave & Grand Ave,Subscriber,41.891189,-87.6267825,"26,590",,
Milwaukee Ave & Grand Ave,Subscriber,41.891578,-87.648384,"24,152",,
Ogden Ave & Race Ave,Subscriber,41.891795,-87.658751,"11,158",,
Fairbanks Ct & Grand Ave,Customer,41.89186,-87.62062,"11,372",,
Fairbanks Ct & Grand Ave,Subscriber,41.89186,-87.62062,"30,492",,
Orleans St & Ohio St,Subscriber,41.892154,-87.636928,"24,022",,
Streeter Dr & Grand Ave,Subscriber,41.892278,-87.612043,"40,402",,
Streeter Dr & Grand Ave,Customer,41.892278,-87.612043,"154,740",,
Lake Shore Dr & Ohio St,Customer,41.89257,-87.614492,"15,256",,
Lake Shore Dr & Ohio St,Subscriber,41.89257,-87.614492,"19,146",,
Kingsbury St & Erie St,Subscriber,41.893882,-87.641711,"38,316",,
Dearborn St & Erie St,Subscriber,41.893992,-87.629318,"44,744",,
St. Clair St & Erie St,Customer,41.894448,-87.622663,"10,174",,
St. Clair St & Erie St,Subscriber,41.894448,-87.622663,"33,170",,
McClurg Ct & Erie St,Subscriber,41.894503,-87.617854,"28,432",,
Carpenter St & Huron St,Subscriber,41.894556,-87.653449,"10,964",,
Sedgwick St & Huron St,Subscriber,41.894666,-87.638437,"18,504",,
Rush St & Superior St,Subscriber,41.89576475,-87.62590803,"20,096",,
Damen Ave & Chicago Ave,Subscriber,41.895769,-87.67722,"17,268",,
Ashland Ave & Chicago Ave,Subscriber,41.895966,-87.667747,"13,248",,
